pattern,unique_membership_queries,membership_queries,equivalence_queries
(((b(b|a))*)a),161,161,3
(b((b|ε)(a(a*)))),33,33,1
((((b|a)|ε)(b|b))|ε),33,33,1
((b((a|((b|ε)a))*))|ε),169,169,3
((b|((b|b)b))*),35,35,1
(((b|(b|a))((b|b)*))|ε),77,77,2
(((b*)(b((a|ε)(b|b))))*),35,35,1
((a|ε)(((b*)|(((a|ε)(b*))*))((b*)a))),179,179,3
(((b|ε)((a*)(b(b|ε))))*),121,121,2
((((ab)*)(a*))|ε),35,35,1
((a|ε)(((bb)|ε)(ba))),33,33,1
(b(b(((a*)(ba))*))),33,33,1
(((b*)(((b*)a)*))|ε),73,73,2
((b|(b|a))((b*)((b*)(b|ε)))),33,33,1
((((((b|b)|ε)(b*))*)a)|ε),76,76,2
(((b*)|(((a(a*))|((b|ε)(b|ε)))*))|ε),145,145,3
((b|ε)((((b|ε)b)|ε)a)),33,33,1
((b|(b|(b|(b|a))))|ε),77,77,2
(((b*)((b|a)((b*)a)))*),114,114,2
(((b*)|((b|a)*))|ε),33,33,1
(((b*)(b(b|ε)))*),35,35,1
((((a|b)*)(a|b))|ε),35,35,1
(b((a|a)|ε)),33,33,1
(b((a|b)|ε)),33,33,1
(((b(a|ε))*)b),87,87,2
(((ba)|((b|(a|(a|b)))*))|ε),33,33,1
(((((b*)|((ab)*))|ε)((b|ε)(a*)))*),188,188,3
(b(a(b|(b|(b|(b*)))))),33,33,1
(((((b|a)a)*)(a*))|ε),101,101,2
((b|ε)((b*)(a|ε))),33,33,1
((((b*)|((b|(a|b))*))((a|b)*))|ε),33,33,1
(b((b|ε)((b|(b|b))*))),33,33,1
((b(a|(a*)|(a*)))|ε),80,80,2
(((b|(b|(b|a)))((a|a)|ε))|ε),33,33,1
((b|ε)((b|a)*)),80,80,2
((b|ε)((b*)(b|ε))),33,33,1
((b|ε)(((b(a*))|ε)b)),33,33,1
((b|(a|(((a|ε)((a|b)(a|ε)))|(a*))))|ε),95,95,2
(((a*)a)|ε),76,76,2
(b((a((a|ε)(b*)))*)),87,87,2
((a|ε)((a|ε)(bb))),33,33,1
(((((b*)|(a*))|ε)(a|ε))|ε),163,163,3
(((b|(a|a))b)|ε),33,33,1
(((a*)((a*)(b(b|ε))))*),35,35,1
((((aa)*)a)|ε),76,76,2
(b(((b|a)|ε)(bb))),33,33,1
(((((a*)((aa)*))|(b*))(b|ε))|ε),167,167,3
(((b*)(b((((b|ε)(b|b))|ε)b)))*),35,35,1
(((b*)|(((a(a*))|((b|ε)(a*)))*))|ε),33,33,1
(b|(((a|ε)(a(a*)))*)),102,102,2
(((((b|ε)b)*)|(b*))|ε),35,35,1
(b(b(b|(a*)))),33,33,1
((a|(aa))|ε),80,80,2
((a|ε)(b((a|b)(a|a)))),33,33,1
((b(a|((a*)a)))|ε),33,33,1
(b((((a|ε)a)*)a)),33,33,1
((a(ab))*),171,171,3
(((b*)|((((b|b)|ε)(a|ε))*)|(a*))|ε),214,214,3
(b((b|(a|(b(b|ε))))b)),33,33,1
((((b(ba))*)b)|ε),87,87,2
(((b*)|(b*)|(((b|ε)a)*))|ε),35,35,1
(((((a*)|(b*))|ε)((((a|ε)a)|ε)(a*)))*),169,169,3
(((((b|(b|a))a)*)|(b*))|ε),190,190,3
(((b*)|((((a|ε)(b|ε))|(bb))*))|ε),102,102,2
(a|(a|(b|(b|b)))),77,77,2
(((b(a|a))|(a*))|ε),107,107,2
((((b|ε)(b(a*)))*)b),153,153,3
(((b|ε)(b|(b|b)))|ε),33,33,1
(b(((a*)((a*)((b|(b|a))*)))*)),80,80,2
((a|((a|ε)b))|ε),95,95,2
(b|(((a|ε)a)*)),96,96,2
((((b|ε)(bb))*)(b|b)),87,87,2
(b(b((((b|ε)(b|ε))|(a(b*)))*))),166,166,3
(((b|(a|b))((a*)(a(a|ε))))|ε),33,33,1
(((b*)|(((ab)|((ba)|(b*)))*))|ε),153,153,3
((a|ε)(b((a|b)(a*)))),211,211,3
(((ba)|((a|b)*)|(b*))|ε),33,33,1
((b|ε)(b(((a|a)(b*))|ε))),198,198,3
((a|ε)(((b*)|(a*))(a((a|b)|ε)))),33,33,1
((a*)((((b|ε)(a*))*)|(a*))),33,33,1
(b(((a|a)|ε)((a*)a))),33,33,1
((a|ε)((b|(b|b))a)),33,33,1
(((b*)(b((a|ε)(a*))))*),89,89,2
(((((b*)|((b(a|ε))*))|ε)((b|ε)(b*)))*),96,96,2
((a|ε)(((a(a|ε))|ε)(ba))),33,33,1
((b|ε)(((ba)|ε)b)),33,33,1
(((a*)|(a*)|(a*))*),35,35,1
((a|((b*)(a|ε)))|ε),76,76,2
((b|ε)(a((a*)b))),33,33,1
((b|ε)((a|ε)(b*))),33,33,1
(((b|ε)((b|a)*))|ε),80,80,2
((a|ε)(b((a|b)((b|b)*)))),33,33,1
(((b*)|((((a|ε)(b|ε))|((b|ε)(a*)))*))|ε),153,153,3
((b|ε)((b|ε)(b|ε))),33,33,1
((b|(((b|ε)(a|ε))*))|ε),35,35,1
(((a|(b|a))(b*))|ε),77,77,2
(((ba)|(b*)|(a*))|ε),206,206,3
((((b|a)|ε)(a(a*)))*),80,80,2
((b|(((b*)(b|ε))*))|ε),35,35,1
((b|ε)(((a(b|ε))*)b)),33,33,1
((b(a|(a*)|(b*)))|ε),169,169,3
(((b|ε)(b|(a|a)))|ε),33,33,1
(((a|ε)((((a*)|(a*))*)a))*),80,80,2
(((((a*)b)|((b*)a))(b|ε))|ε),33,33,1
(((((a*)|(b*))|ε)((a|ε)((b*)|(a*))))*),73,73,2
((b|ε)(a|(b|b))),33,33,1
((b*)(ba)),33,33,1
(((b*)(a((b|b)b)))*),193,193,3
(((b|b)(b|(b(a|a))))|ε),33,33,1
((b|(bb))*),35,35,1
((((a|b)((a|ε)(a*)))*)(b*)),115,115,2
(((b*)|(((a(a*))|(((a|a)*)(b*)))*))|ε),33,33,1
(((b|(a|(ab)))a)|ε),33,33,1
((((ab)*)(b*))|ε),96,96,2
((b|(b*)|((a(b|ε))*))|ε),102,102,2
((a|ε)((a|a)(a*))),33,33,1
(b((a((b|ε)(a|ε)))*)),87,87,2
(((b*)(b((b|ε)(b|(b|a)))))*),98,98,2
((((ab)*)(a|ε))|ε),76,76,2
((a|ε)((b|(a|b))b)),33,33,1
(b((b|(a|(b|(a|a))))|ε)),33,33,1
(((((a|a)|ε)(b|ε))*)b),110,110,2
(((b|(b|a))(a|ε))|ε),33,33,1
((((b(b(b*)))*)|(a*))|ε),109,109,2
(((a|(b*))|ε)((bb)|ε)),33,33,1
(((bb)|(((b|ε)(a*))|(a*)))|ε),198,198,3
(((a*)|(b*)|(a*))*),33,33,1
(((a*)((a*)(bb)))*),35,35,1
((((b*)|((b|(b|b))*))(b|ε))|ε),73,73,2
((a|ε)((a|ε)((b|ε)(ba)))),33,33,1
(((((b*)(b|ε))|(b*)|(a*))a)|ε),163,163,3
((b((a(((a|a)*)|(a*)))|ε))|ε),33,33,1
(((b|b)(b|(ab)))|ε),33,33,1
(((((a|a)*)a)|(b*))|ε),163,163,3
(b((a((b|ε)(b|ε)))*)),154,154,3
(((b|(a|((b|ε)a)))(b|ε))|ε),33,33,1
((((a|ε)(b(a|b)))*)(a|ε)),95,95,2
(b((a|a)((b|ε)((a*)a)))),33,33,1
((a|ε)(((b|a)|ε)a)),33,33,1
(((((a*)|(b*))|ε)((a|ε)a))*),169,169,3
(b(a((b*)(bb)))),33,33,1
(((b(b(a|ε)))|((aa)*))|ε),76,76,2
((b|ε)(((a*)((ab)*))*)),84,84,2
((((a|(b*))|ε)((b|a)*))|ε),33,33,1
((a|ε)(b((a|b)(b|(b|b))))),33,33,1
(((b*)(b(b((a|b)|ε))))*),98,98,2
(((a|(b|(b|(b|(b|b)))))*)b),35,35,1
(((((b*)|(b*))*)|((bb)*))|ε),35,35,1
((b|(a|(((a|ε)(ba))|(b(a*)))))|ε),251,251,4
(((b*)((b|a)(a(b|ε))))*),133,133,2
((b|ε)(((aa)*)(b*))),182,182,3
(((a|(b|a))*)(a*)),33,33,1
(((a|b)*)b),35,35,1
((((b|a)|ε)((a*)|(b*)|((b|a)*)))|ε),35,35,1
(((b*)(b(((a(aa))|ε)a)))*),155,155,2
((b|ε)(b(b*))),33,33,1
(((((b|a)(b|b))*)a)|ε),95,95,2
(((ba)|((b|(b|b))*))|ε),35,35,1
(b((a*)(((a|a)*)b))),33,33,1
((b|((b|a)(a|ε)))*),82,82,2
(b((a|(a|b))((a*)b))),33,33,1
((b|(a*)|(a*))|ε),76,76,2
(((a|ε)((b*)(b((a|ε)b))))*),35,35,1
(((bb)*)(a*)),103,103,2
((b|(b*)|(a*)|(b*))|ε),163,163,3
(((((a|b)b)|ε)(b(aa)))*),35,35,1
(((b*)((b|b)(a((b*)|(b*)))))*),96,96,2
((b|ε)(b((ab)*))),33,33,1
(b(((a|a)|ε)((b*)a))),33,33,1
(((a|ε)(((a|(a|b))|ε)b))*),155,155,3
(((b((b|b)|ε))*)b),87,87,2
(((((b*)|(((b*)|(b*))*))|ε)a)|ε),76,76,2
(b(((a|(a|a))|ε)((a*)a))),33,33,1
(b(((b|(a|a))|ε)(b*))),33,33,1
(((b|b)(b|(a|b)))|ε),33,33,1
((b|ε)(b((b(a*))|ε))),215,215,3
(b((b*)(ba))),33,33,1
(((b*)((b|ε)(a|ε)))*),89,89,2
((a|ε)((((a*)|(a*))|ε)(a(a*)))),33,33,1
(b(((a|ε)(b|b))*)),87,87,2
(b((a|a)(b((b|ε)b)))),33,33,1
(((a|(b|a))((b|a)*))|ε),35,35,1
(b(((a|a)|ε)((a*)b))),33,33,1
(((b|(b|(b|a)))((b|a)|ε))|ε),33,33,1
((((a*)(b(b*)))|((ab)*))|ε),196,196,3
(((b((a|b)|ε))*)b),87,87,2
(((a|(b|a))|ε)(b(a|ε))),33,33,1
(b((b|(b|b))(((b*)(a*))|ε))),154,154,3
(b((b|(a*))(a*))),84,84,2
(((((a*)a)|(b((a|ε)b)))((b|b)*))|ε),76,76,2
(b((b|(b|b))(((b|ε)b)|ε))),33,33,1
(((b*)(b|(b*)))*),35,35,1
(((a|ε)((a*)(a*)))*),35,35,1
(((ba)*)(b|ε)),87,87,2
((((b*)|(a*))((b|b)|ε))|ε),167,167,3
(b(a((a*)(a(b|ε))))),33,33,1
((b|(((b*)(b*))*))|ε),35,35,1
(((((a*)(ba))*)|(a*))|ε),140,140,3
(((((b*)|(a*)|((bb)*))|ε)b)|ε),167,167,3
(((b*)|((a|(a|(b(b|ε))))*))|ε),145,145,3
(((a|ε)((b*)(((b|ε)b)*)))*),80,80,2
(((a*)|(b*)|(b*))*),33,33,1
(((b|a)|ε)((a|ε)b)),33,33,1
(b((b|(a|(b|(a|b))))|ε)),33,33,1
(((a*)|(((b*)(((a|ε)(b|ε))|ε))*))((b|ε)(b*))),285,285,3
(b(a(a(b|ε)))),33,33,1
((b*)((b|b)(ab))),33,33,1
((((b*)|(a*))(((a*)a)|ε))|ε),76,76,2
(((a|ε)((a*)(bb)))*),35,35,1
(((b*)|((a|b)*)|(b*))|ε),33,33,1
(b((b|b)(a*))),33,33,1
(b((b|ε)(a(b*)))),198,198,3
(((b|(b|(b|a)))((b|b)|ε))|ε),33,33,1
(((b(b(a|ε)))|(b*))|ε),35,35,1
((((b|(a|b))|ε)(((a*)b)*))|ε),87,87,2
(b((a|a)(aa))),33,33,1
((((ba)*)|(b*))|ε),35,35,1
((b((a(b|(a|b)))|ε))|ε),33,33,1
((a((b|ε)(a|ε)))*),35,35,1
(((a*)|(a*))(bb)),33,33,1
(((a|ε)((b*)(b|ε)))*),87,87,2
(((((a*)|(b*))a)*)b),77,77,2
(((aa)*)a),76,76,2
(((b|(b|(b|(a|(a|(a*))))))b)|ε),77,77,2
(((((a*)b)|(a*))(((b|ε)a)*))|ε),95,95,2
(b((((a*)a)|ε)(b*))),33,33,1
(((((a*)a)|(b(ab)))b)|ε),33,33,1
(b((b|(b|(a*)))(a|ε))),33,33,1
(((b*)((b|b)((a*)a)))*),89,89,2
(((((a|b)b)|ε)(aa))*),35,35,1
((b|(b*)|((a|a)*))|ε),163,163,3
(((a|ε)(((a*)|(b*))*))|ε),77,77,2
((((b(b(b|ε)))*)|(a*))|ε),35,35,1
(((a|ε)(a|a))|ε),33,33,1
(((b*)|(((a(a*))|((b|ε)(a|ε)))*))|ε),198,198,3
(((b|ε)(b((b|ε)a)))*),35,35,1
(((((b*)|(b*))|ε)((a|(b|(a|b)))*))|ε),33,33,1
(((a*)|(((b*)b)*))((b|a)(a|ε))),176,176,3
(((a*)|(a*))(a(b|ε))),33,33,1
((b|((b|(a*)|(a*))*))|ε),33,33,1
(((((b*)(b|ε))|(b*)|(a*))b)|ε),167,167,3
(((b*)|((a|(b(b(b|ε))))*))|ε),219,219,3
((a|ε)((a|ε)((a|ε)(ba)))),33,33,1
(((b*)|(b*)|(((b|a)b)*))|ε),102,102,2
(b(((a|(b|(a|b)))|ε)a)),33,33,1
(b(a(b|(b|(b*))))),33,33,1
((a|ε)((a|ε)a)),33,33,1
(((bb)*)b),87,87,2
(((((b*)|(a*))|ε)(a*))|ε),76,76,2
(((bb)|((b|(a|a))*))|ε),33,33,1
(((b|(b|(b|(a|(a|(b|(a|b)))))))a)|ε),33,33,1
((a|ε)((b|b)(a|a))),33,33,1
(((b|b)(b|ε))|ε),33,33,1
(((b*)|((a|(b|b))*))|ε),33,33,1
(b(((b|b)|ε)(b|ε))),33,33,1
(((((a|b)b)|ε)(b(b|b)))*),35,35,1
(((b*)((((b|b)b)|ε)((b*)a)))*),35,35,1
((a|ε)(a(b|(b|a)))),33,33,1
((((a|a)b)|(a(b*)))*),80,80,2
((b|ε)(a|(b|(a*)))),84,84,2
(b(a((a|a)b))),33,33,1
(((b*)((b|a)(a(a*))))*),167,167,3
((a|ε)((((b(b*))*)|(a*))a)),33,33,1
(((b*)((bb)*))|ε),35,35,1
(((b*)(a|a))*),35,35,1
(((b*)(b(((a|a)|ε)(a*))))*),89,89,2
(b((b(b|b))*)),87,87,2
((b|(b|a))((b|ε)b)),33,33,1
(b((b|(b|b))((b|b)|ε))),33,33,1
((a|ε)((b|(b|b))(a*))),33,33,1
((((a|b)((a|a)(a|ε)))*)b),133,133,2
((b|ε)(a(a|(a|(b|b))))),33,33,1
((((a(ba))*)a)*),113,113,2
(((((a*)|(b*))|ε)((((b|ε)b)|ε)a))*),35,35,1
(((ba)|(b*)|(b*))|ε),35,35,1
((b|(a|(((a|ε)(ab))|(ba))))|ε),77,77,2
(((bb)|(((b|ε)(b|ε))*))|ε),35,35,1
(((b(a*))*)(b|ε)),170,170,3
(((b|(a|(b|a)))((bb)*))|ε),77,77,2
((a|ε)(b((a|b)((a|b)|ε)))),33,33,1
((((b*)|(a*))(((b|ε)(a|ε))*))|ε),198,198,3
(b(((a*)((b|ε)(b|ε)))*)),154,154,3
(b(((a*)(a(a|(a|b))))*)),163,163,3
(((b|(b|a))((a|((b|b)*))*))|ε),35,35,1
(((ba)*)(a|ε)),76,76,2
((((b|(a|(b|b)))|ε)a)|ε),33,33,1
((b|(((b*)|((a|a)*))*))|ε),33,33,1
(((b*)(a(((b|b)*)a)))*),76,76,2
(((b(b((b|b)|ε)))|(a*))|ε),35,35,1
((a|ε)(((((a|ε)((b(a|ε))|ε))*)|(b*))b)),33,33,1
(((((b*)|(a*))*)|(a*))|ε),33,33,1
(((b*)|(b*)|((ba)*))|ε),35,35,1
